url,image_url,name,price
https://www.glassesshop.com/eyeglasses/fp1506,"https://res.glassesshop.com/products/201811/5bff5bf26798e.jpg?im=Resize,width=600,height=300",Bruno - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp1979,"https://res.glassesshop.com/products/201910/5d9ff9961f92a.jpg?im=Resize,width=600,height=300",Bronx - Black,$12.95
https://www.glassesshop.com/eyeglasses/fp2582,"https://res.glassesshop.com/products/202209/63291ebd52474.jpg?im=Resize,width=600,height=300",Roderick - Black,$12.95
https://www.glassesshop.com/eyeglasses/fz1740,"https://res.glassesshop.com/products/202108/6107bdcd1997d.jpg?im=Resize,width=600,height=300",Memphis - Petal Tortoise,$29.95
https://www.glassesshop.com/sunglasses/sup0791,"https://res.glassesshop.com/products/202007/5f1e8acd71af1.jpg?im=Resize,width=600,height=300",Evanston - Black,$26.95
https://www.glassesshop.com/eyeglasses/fp1727,"https://res.glassesshop.com/products/201807/5b3dcff30c19c.jpg?im=Resize,width=600,height=300",Dove - Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fp1972,"https://res.glassesshop.com/products/202106/60bdd9c8ae6b0.jpg?im=Resize,width=600,height=300",Flushing - Crystal,$12.95
https://www.glassesshop.com/eyeglasses/fm1244,"https://res.glassesshop.com/products/202407/669b1b3ea2a2b.jpg?im=Resize,width=600,height=300",Burke - Golden,$26.95
https://www.glassesshop.com/eyeglasses/fp1438,"https://res.glassesshop.com/products/202005/5eb91ab52f793.jpg?im=Resize,width=600,height=300",Prince - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fp1991,"https://res.glassesshop.com/products/202106/60bdd7c30d594.jpg?im=Resize,width=600,height=300",Asheville - Crystal,$12.95
https://www.glassesshop.com/eyeglasses/fz1358,"https://res.glassesshop.com/products/201907/5d1dad7e8b665.jpg?im=Resize,width=600,height=300",Milne - Crystal,$29.95
https://www.glassesshop.com/eyeglasses/fz1491,"https://res.glassesshop.com/products/202008/5f30c11add35e.jpg?im=Resize,width=600,height=300",Joplin - Green,$26.95
https://www.glassesshop.com/eyeglasses/fz1608,"https://res.glassesshop.com/products/202102/602a10c0cfd59.jpg?im=Resize,width=600,height=300",Hedy - Purple,$29.95
https://www.glassesshop.com/eyeglasses/fp2390,"https://res.glassesshop.com/products/202109/614a9a5e84c85.jpg?im=Resize,width=600,height=300",Fitchburg - Brown,$9.95
https://www.glassesshop.com/eyeglasses/sm0860,"https://res.glassesshop.com/products/201810/5bbc51096d6bb.jpg?im=Resize,width=600,height=300",Willie - Black,$19.95
https://www.glassesshop.com/eyeglasses/fp2149,"https://res.glassesshop.com/products/202011/5f9faeb45812b.jpg?im=Resize,width=600,height=300",Dominic - Black/Floral,$12.95
https://www.glassesshop.com/eyeglasses/fz1313,"https://res.glassesshop.com/products/201906/5cf8ca4e9765e.jpg?im=Resize,width=600,height=300",Whittier - Black/Blue,$29.95
https://www.glassesshop.com/eyeglasses/fp1746,"https://res.glassesshop.com/products/201811/5bebc0387547c.jpg?im=Resize,width=600,height=300",Murphy - Black,$39.95
https://www.glassesshop.com/eyeglasses/fp2522,"https://res.glassesshop.com/products/202305/646324b03815d.jpg?im=Resize,width=600,height=300",Pasadena - Crystal/Golden,$26.95
https://www.glassesshop.com/eyeglasses/fp2077,"https://res.glassesshop.com/products/202005/5eb8b55205375.jpg?im=Resize,width=600,height=300",Hartford - Crystal,$7.00
https://www.glassesshop.com/eyeglasses/fz2026,"https://res.glassesshop.com/products/202209/632921223b13f.jpg?im=Resize,width=600,height=300",Hoyle - Crystal/Floral,$7.00
https://www.glassesshop.com/eyeglasses/fp1923,"https://res.glassesshop.com/products/202101/5fffb4b75dafe.jpg?im=Resize,width=600,height=300",Bray - Purple,$12.95
https://www.glassesshop.com/eyeglasses/fz1159,"https://res.glassesshop.com/products/201805/5b0fae2e711fc.jpg?im=Resize,width=600,height=300",Enoch - Burgundy,$29.95
https://www.glassesshop.com/eyeglasses/fz1207,"https://res.glassesshop.com/products/201807/5b4c5f5d54841.jpg?im=Resize,width=600,height=300",Pete - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fm1553,"https://res.glassesshop.com/products/202102/603c4e48ab639.jpg?im=Resize,width=600,height=300",Amelia - Black,$34.95
https://www.glassesshop.com/eyeglasses/fm1819,"https://res.glassesshop.com/products/202209/63291e5d87db4.jpg?im=Resize,width=600,height=300",Smollett - Green,$19.95
https://www.glassesshop.com/eyeglasses/ft0304,"https://res.glassesshop.com/products/201906/5d0318965cdb1.jpg?im=Resize,width=600,height=300",Annabel - Rose Gold,$39.95
https://www.glassesshop.com/eyeglasses/fp2319,"https://res.glassesshop.com/products/202309/64ffbf806b97a.jpg?im=Resize,width=600,height=300",Alberta - Pink/Crystal,$9.95
https://www.glassesshop.com/eyeglasses/fp2036,"https://res.glassesshop.com/products/202002/5e377f634cb1c.jpg?im=Resize,width=600,height=300",Fresno - Black,$9.95
https://www.glassesshop.com/eyeglasses/fp1694,"https://res.glassesshop.com/products/202106/60bdd99fb7511.jpg?im=Resize,width=600,height=300",Lexingto - Floral,$19.95
https://www.glassesshop.com/eyeglasses/fp2299,"https://res.glassesshop.com/products/202105/60b5d4998f26f.jpg?im=Resize,width=600,height=300",Denise - Green,$26.95
https://www.glassesshop.com/eyeglasses/fz2057,"https://res.glassesshop.com/products/202307/64a7c7026c052.jpg?im=Resize,width=600,height=300",Aries - Blue,$29.95
https://www.glassesshop.com/eyeglasses/fz2025,"https://res.glassesshop.com/products/202209/63292118e1589.jpg?im=Resize,width=600,height=300",Placerville - Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fp2111,"https://res.glassesshop.com/products/202007/5f0d02e66cf0b.jpg?im=Resize,width=600,height=300",Althea - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fz1391,"https://res.glassesshop.com/products/201910/5d9ffa6c561dc.jpg?im=Resize,width=600,height=300",Miami - Floral,$29.95
https://www.glassesshop.com/eyeglasses/fz1750,"https://res.glassesshop.com/products/202108/610a547c82bdc.jpg?im=Resize,width=600,height=300",Union - Brown/Blue,$35.95
https://www.glassesshop.com/eyeglasses/fp1661,"https://res.glassesshop.com/products/201805/5af16009d7b28.jpg?im=Resize,width=600,height=300",Derrick - Black/Golden,$26.95
https://www.glassesshop.com/eyeglasses/fz1320,"https://res.glassesshop.com/products/201906/5cf8ca4eb5fb5.jpg?im=Resize,width=600,height=300",Vogt - Multicolor,$29.95
https://www.glassesshop.com/sunglasses/sup1101,"https://res.glassesshop.com/products/202103/604580ab73609.jpg?im=Resize,width=600,height=300",Galveston - Black,$29.95
https://www.glassesshop.com/eyeglasses/fp2490,"https://res.glassesshop.com/products/202201/61dbe5d528cb5.jpg?im=Resize,width=600,height=300",Niki - Black/Blue,$26.95
https://www.glassesshop.com/eyeglasses/fm1471,"https://res.glassesshop.com/products/202008/5f30d2a299820.jpg?im=Resize,width=600,height=300",Celeste - Black,$19.95
https://www.glassesshop.com/eyeglasses/fm1263,"https://res.glassesshop.com/products/201906/5cf730e71cec3.jpg?im=Resize,width=600,height=300",Rochester - Black,$29.95
https://www.glassesshop.com/sunglasses/sup1203,"https://res.glassesshop.com/products/202106/60d17b88cdbd8.jpg?im=Resize,width=600,height=300",TerreHaute - Black,$19.95
https://www.glassesshop.com/eyeglasses/fm1405,"https://res.glassesshop.com/products/201910/5da92c7eb9fb3.jpg?im=Resize,width=600,height=300",Toledo - Rose Gold,$26.95
https://www.glassesshop.com/eyeglasses/fp1841,"https://res.glassesshop.com/products/201904/5cb69b512d7b0.jpg?im=Resize,width=600,height=300",Butler - Black,$19.95
https://www.glassesshop.com/eyeglasses/fz1250,"https://res.glassesshop.com/products/201810/5bbc4f0f37405.jpg?im=Resize,width=600,height=300",Vivian - Multicolor,$29.95
https://www.glassesshop.com/eyeglasses/fp2157,"https://res.glassesshop.com/products/202011/5fa8e940a056e.jpg?im=Resize,width=600,height=300",Indianapolis - Tortoise,$9.95
https://www.glassesshop.com/sunglasses/sup1074,"https://res.glassesshop.com/products/202103/60457fdbce7bd.jpg?im=Resize,width=600,height=300",Clarence - Tortoise,$9.95
https://www.glassesshop.com/eyeglasses/fm1394,"https://res.glassesshop.com/products/202011/5fbf2aaec33c1.jpg?im=Resize,width=600,height=300",Attis - Golden,$26.95
https://www.glassesshop.com/eyeglasses/fp1768,"https://res.glassesshop.com/products/201808/5b7e0ee2a1137.jpg?im=Resize,width=600,height=300",Belle - Black,$19.95
https://www.glassesshop.com/sunglasses/sup0821,"https://res.glassesshop.com/products/202004/5e93cdb77d4ef.jpg?im=Resize,width=600,height=300",Walnut - Black,$29.95
